Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2020-10-13,83467.0,83645.0,83022.0,83645.0,305989,VND,623.0,-178.0,82730.28571428571,82514.35714285714,83098.52380952382,779.6036844201903,1117.1576262571307
2020-10-14,83645.0,84445.0,83556.0,84445.0,437917,VND,889.0,-800.0,82946.28571428571,82641.35714285714,83098.52380952382,1018.1070202888837,1117.1576262571307
2020-10-15,84533.0,86667.0,80889.0,86667.0,1528402,VND,5778.0,-2134.0,83670.14285714286,82939.78571428571,83183.19047619047,1558.9898897010169,1310.3149094414102
2020-10-16,87200.0,87200.0,86133.0,86756.0,671164,VND,1067.0,444.0,84317.85714285714,83244.57142857143,83335.57142857143,1782.8515014408558,1524.4157100812497
2020-10-19,86933.0,87022.0,86578.0,86845.0,416914,VND,444.0,88.0,85003.57142857143,83638.28571428571,83492.19047619047,1683.2755624219674,1706.300753649368
2020-10-20,86578.0,87022.0,85156.0,86933.0,575156,VND,1866.0,-355.0,85536.85714285714,84038.28571428571,83568.38095238095,1606.2154721133973,1824.252325644311
2020-10-21,86933.0,87022.0,85956.0,86489.0,193511,VND,1066.0,444.0,85968.57142857143,84343.07142857143,83682.66666666667,1341.4665925944237,1930.5778495913983
2020-10-22,86222.0,88978.0,86045.0,88978.0,699311,VND,2933.0,-2756.0,86730.42857142857,84730.35714285714,83919.71428571429,1316.0476000941128,2250.5826832812204
2020-10-23,89067.0,93245.0,88889.0,92445.0,1981215,VND,4356.0,-3378.0,87873.28571428571,85409.78571428571,84385.33333333333,2186.403951262044,2897.0746337180985
2020-10-26,96889.0,97333.0,93245.0,93422.0,1096560,VND,4088.0,3467.0,88838.28571428571,86254.21428571429,84905.95238095238,2929.6388693422296,3465.7911431040534
2020-10-27,95111.0,95200.0,92445.0,93956.0,904522,VND,2755.0,1155.0,89866.85714285714,87092.35714285714,85452.0,3315.269593289398,3937.2219901853878
2020-10-28,93956.0,95111.0,87822.0,89067.0,1333001,VND,7289.0,4889.0,90184.28571428571,87593.92857142857,85820.28571428571,3075.4105262160747,3894.1499861054476
2020-10-29,89067.0,91556.0,88889.0,89511.0,1493752,VND,2667.0,-444.0,90552.57142857143,88044.71428571429,86209.71428571429,2759.284741688135,3831.3768692579715
2020-10-30,90222.0,94667.0,89511.0,94667.0,1093950,VND,5156.0,-4445.0,91720.85714285714,88844.71428571429,86802.33333333333,2467.9135201330796,4134.2329800499365
2020-11-02,94667.0,95111.0,93333.0,94667.0,777499,VND,1778.0,0.0,92533.57142857143,89632.0,87331.42857142857,2347.926167006253,4400.415725490268
2020-11-03,95111.0,95111.0,92800.0,92800.0,844954,VND,2311.0,2311.0,92584.28571428571,90228.78571428571,87801.28571428571,2349.527591827831,4433.938375111324
2020-11-04,92711.0,92800.0,91556.0,92000.0,557257,VND,1244.0,711.0,92381.14285714286,90609.71428571429,88296.52380952382,2326.386140817746,4284.967743391288
2020-11-05,92622.0,95022.0,92445.0,92889.0,888592,VND,2577.0,-267.0,92228.71428571429,91047.78571428571,88804.47619047618,2239.3279285149374,4159.276627239858
