Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-07-26,10700.0,11900.0,10500.0,11700.0,8600,VND,1400.0,-1000.0,11085.714285714286,10128.57142857143,10038.095238095239,954.6876826630448,995.2267030562274
2016-07-27,11300.0,11700.0,10300.0,11100.0,29600,VND,1400.0,200.0,11242.857142857143,10228.57142857143,10076.190476190477,828.3661486265852,1020.7373618638342
2016-07-28,11200.0,11200.0,10800.0,10800.0,4100,VND,400.0,400.0,11314.285714285714,10321.42857142857,10109.52380952381,751.5064236331394,1032.9108199185157
2016-07-29,10300.0,11000.0,10000.0,10000.0,45600,VND,1000.0,300.0,11071.42857142857,10371.42857142857,10119.047619047618,871.2333895389812,1030.8341513643336
2016-08-01,10300.0,10300.0,10300.0,10300.0,2900,VND,0.0,0.0,10742.857142857143,10464.285714285714,10147.619047619048,585.5400437690841,1026.9464677474803
2016-08-02,10300.0,10400.0,10000.0,10000.0,5900,VND,400.0,300.0,10600.0,10528.57142857143,10161.904761904761,632.4555320336412,1022.485300860687
2016-08-03,10500.0,10900.0,10000.0,10000.0,11500,VND,900.0,500.0,10557.142857142857,10600.0,10180.952380952382,665.475125648659,1015.1940935698093
2016-08-04,10000.0,10000.0,9200.0,9400.0,8100,VND,800.0,600.0,10228.57142857143,10657.142857142857,10161.904761904761,567.7860093212089,1026.3898822943304
2016-08-05,8700.0,9100.0,8700.0,9100.0,7600,VND,400.0,-400.0,9942.857142857143,10592.857142857143,10133.333333333334,559.3363414414368,1048.013994817489
2016-08-08,9800.0,10100.0,9800.0,10100.0,7700,VND,300.0,-300.0,9842.857142857143,10578.57142857143,10161.904761904761,427.61798705981823,1038.0155058939001
2016-08-09,11000.0,11000.0,9200.0,10300.0,9200,VND,1800.0,700.0,9885.714285714286,10478.57142857143,10209.52380952381,459.81362684083183,1019.2667766118648
2016-08-10,10300.0,10300.0,9200.0,9200.0,11200,VND,1100.0,1100.0,9728.57142857143,10235.714285714286,10219.047619047618,482.0590756130409,1008.2752836497714
